Grid scores on development set:

0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'linear'}
0.684 (+/-0.034) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'poly'}
0.119 (+/-0.056) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'rbf'}
0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'linear'}
0.464 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'poly'}
0.115 (+/-0.039) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'rbf'}
0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'linear'}
0.238 (+/-0.025) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'poly'}
0.113 (+/-0.030) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'rbf'}
0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'linear'}
0.107 (+/-0.007) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'poly'}
0.112 (+/-0.027) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'rbf'}
0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'linear'}
0.107 (+/-0.007) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'poly'}
0.111 (+/-0.024) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'rbf'}
0.146 (+/-0.029) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'linear'}
0.107 (+/-0.007) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'poly'}
0.111 (+/-0.021) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'rbf'}
