Grid scores on development set:

0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'linear'}
0.734 (+/-0.019) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'poly'}
0.115 (+/-0.039) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 8.0, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'linear'}
0.406 (+/-0.057) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'poly'}
0.115 (+/-0.039) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 2.0, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'poly'}
0.115 (+/-0.039) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.5, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'poly'}
0.115 (+/-0.039) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.125, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'poly'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.03125, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'poly'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.0078125, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.001953125, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.001953125, 'kernel': 'poly'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.001953125, 'kernel': 'rbf'}
0.114 (+/-0.036) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.00048828125, 'kernel': 'linear'}
0.114 (+/-0.033) for {'C': 0.00390625, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 0.00048828125, 'kernel': 'poly'}
